participant_id,age,av_disclose_performance,av_reduce_injuries,av_report_safety,av_school_zone,av_share_data,av_speed_limit,av_two_drivers,bikegph_member,bikepgh_position,bikepgh_should_advocate,elaborate_bikepgh_position,end_date,familiar_av_tech,feel_safe_avs,feel_safe_cars,herzberg_death_change_opinion,interacted_av_biking,interacted_av_walking,interaction_details,negative_av_interaction,other_av_regulations,other_comments,own_car,own_smartphone,paying_attention_av_news,positive_av_interaction,regulate_av_testing,start_date,thoughts_pgh_av_testing,year,zipcode
230,,,Not sure,,Yes,Yes,Yes,,,Actively Oppose,Agree,"I would like to see BikePGH continue advocating for bicyclists, pedestrians, and increased access to public transit!",02/23/2017 12:07:11 PM PST,Somewhat familiar,3.0,3.0,,Not sure,Yes,,,,Eliminating union jobs in favor of AVs is the least Pittsburgh thing the city could do. Let's put more energy towards public transit and union driving jobs!,,,To a moderate extent,,Yes,02/23/2017 11:55:45 AM PST,Disapprove,2017,15224
231,,,Yes,,Yes,Yes,No,,,Neither Support nor Oppose,Agree,BikePgh should be involved in order to be able to acquire information that would enable it to inform its' public as to what is happening and how it may impact the biking and pedestrian citizenry . At this time I would be very disappointed if it took any position based purely on opinion . Factual data will become available and only then should any stance be taken .,02/23/2017 3:46:21 PM PST,Somewhat familiar,4.0,3.0,,Yes,Yes,There was nothing out of the ordinary about the circumstances .  The cars in question were Uber vehicles which for the present I've always seen with two people in the front seats .,,,,,,To a moderate extent,,Yes,02/23/2017 11:58:29 AM PST,Approve,2017,15206
232,,,Maybe,,Not sure,Yes,Not sure,,,No Opinion,Agree,,02/23/2017 12:03:17 PM PST,Mostly Unfamiliar,0.0,4.0,,No,No,,,,,,,To little extent,,Yes,02/23/2017 12:00:42 PM PST,Somewhat Disapprove,2017,15106
233,,,Yes,,No,Yes,No,,,Actively Support,Agree,,02/23/2017 12:05:06 PM PST,Somewhat familiar,4.0,3.0,,Yes,Yes,All of my interactions with AVs have been positive. No problems with sharing a lane...,,,,,,To some extent,,Yes,02/23/2017 12:02:25 PM PST,Approve,2017,15212
234,,,Not sure,,Not sure,Yes,Yes,,,Neither Support nor Oppose,Agree,"while I'm glad that Pittsburgh is seeing more jobs, innovation, and positive press with the autonomous vehicle testing being done here, I'm very wary of their safety especially as it pertains to interacting with bicycles and pedestrians.  I'm sure that they would reduce car-car accidents but people and bikes are much less predictable and the risk is much higher for those not in a car",02/23/2017 12:06:54 PM PST,Extremely familiar,1.0,2.0,,No,Yes,car behaved similar to any other car,,,,,,To a large extent,,Yes,02/23/2017 12:02:51 PM PST,Disapprove,2017,15221
235,,,Maybe,,No,Yes,No,,,Neither Support nor Oppose,Agree,"This is a complicated issue. I think ensuring safety is paramount, regardless of a position.",02/23/2017 12:25:10 PM PST,Somewhat familiar,3.0,3.0,,No,No,,,,My answers are predicated on the status quo - that AVs on public streets have a human back-up in the event that something unexpected or dangerous happens.,,,To a moderate extent,,Yes,02/23/2017 12:03:24 PM PST,Neutral,2017,15211
236,,,Maybe,,Not sure,Yes,No,,,Neither Support nor Oppose,Neutral,,02/23/2017 12:06:11 PM PST,Mostly Unfamiliar,4.0,4.0,,Not sure,Yes,,,,,,,To some extent,,No,02/23/2017 12:03:38 PM PST,Somewhat Approve,2017,15224
237,,,Yes,,Not sure,Yes,No,,,Actively Support,Strongly Disagree,,02/23/2017 12:06:24 PM PST,Mostly familiar,4.0,4.0,,No,No,,,,,,,To a moderate extent,,Yes,02/23/2017 12:04:20 PM PST,Approve,2017,15144
238,,,Yes,,No,Not sure,No,,,Actively Support,Agree,,02/23/2017 12:16:28 PM PST,Extremely familiar,5.0,4.0,,Yes,Yes,,,,,,,To a large extent,,No,02/23/2017 12:04:42 PM PST,Approve,2017,15224
239,,,Yes,,No,Not sure,No,,,Actively Support,Strongly Agree,Safety improvements will keep bikers safer. These cars will be less likely to hurt a pedestrian or biker.,02/23/2017 12:08:11 PM PST,Mostly familiar,0.0,1.0,,Not sure,No,,,,,,,To a large extent,,Yes,02/23/2017 12:05:03 PM PST,Approve,2017,15055
240,,,Yes,,Yes,Yes,Yes,,,Neither Support nor Oppose,Agree,"Until the cars are shown to be consistently safer or unsafe, there shouldn't be a rush to judgment on way or another. While the potential for this tech. is enormous, allowing it unchecked access on the streets could prove quite detrimental in the short term while the tech. is in test mode. So far I'm not aware of any significant incidents in Pittsburgh where an AV was at fault and a human driver could have prevented an incident, but that could change at any time. On the other hand, having Pittsburgh be inclusive and welcoming to these companies can also provide the anticipated benefits of AVs that much sooner to the bicyclists and pedestrians of the city. Hence I feel that the attitude should be one of cautious encouragement, while being willing to speak out should it become clear through an incident that the safety of the public is in question.",02/23/2017 12:30:33 PM PST,Somewhat familiar,4.0,4.0,,No,Yes,"AV operated like a normal vehicle (if anything it stopped earlier for the crosswalk than a normal car would). I was mid-cross, so was a fairly large blip on the LIDAR. Unsure how the car would have reacted had I just started to cross.",,,"The AV really comes down to the AI software driving it. You can have all the sophisticated sensors you want but if the car can't interpret it then problems will be had by all. This has been behind some of the early incidents with Tesla autopilot (not a full AV to be sure, but similar in function and execution); the computer program wasn't sophisticated enough to interpret the information feed the way a real driver would. Uber still has a person behind the wheel, but if something does go catastrophically wrong, I somehow doubt human reactions would be able to compensate. For now, while the program is in ""learning mode"", it may be best to advocate for the cars to remain in at low speed in urban areas to lessen potential injuries and away from zones of unpredictability (like school zones) until companies can demonstrate a consistent ability to handle more complex interactions through data sharing and analysis with the city.",,,To a moderate extent,,Yes,02/23/2017 12:05:43 PM PST,Approve,2017,15217
241,,,Maybe,,Yes,Yes,Yes,,,Actively Oppose,Agree,,02/23/2017 12:10:25 PM PST,Somewhat familiar,2.0,3.0,,No,No,,,Make sure that cyclists are considered.,,,,To a moderate extent,,Yes,02/23/2017 12:06:16 PM PST,Neutral,2017,15204
242,,,Yes,,No,Yes,No,,,Actively Support,Agree,I think short term they will be more dangrous but we will get to the point were lights might not b needed as they use infered so we will b seen also animinals will b seen blind spots eleminated,02/23/2017 12:10:23 PM PST,Mostly Unfamiliar,2.0,3.0,,Yes,Yes,Uber,,,,,,To some extent,,Yes,02/23/2017 12:06:47 PM PST,Somewhat Approve,2017,15218
243,,,No,,No,No,No,,,Neither Support nor Oppose,Neutral,,02/23/2017 12:10:39 PM PST,Mostly familiar,4.0,4.0,,No,Yes,,,,,,,To a moderate extent,,Yes,02/23/2017 12:08:15 PM PST,Approve,2017,15218
244,,,Yes,,No,Not sure,Yes,,,Neither Support nor Oppose,Neutral,I think they should be supported but only if the testing is being conducted in a safe and responsible manner for all users.,02/23/2017 12:13:49 PM PST,Somewhat familiar,0.0,3.0,,No,No,,,,,,,To little extent,,Not sure,02/23/2017 12:09:14 PM PST,Somewhat Approve,2017,15122
245,,,Yes,,No,Yes,No,,,Actively Support,Agree,,02/23/2017 12:17:13 PM PST,Extremely familiar,5.0,2.0,,Not sure,Not sure,,,,,,,To a large extent,,Yes,02/23/2017 12:10:19 PM PST,Approve,2017,15208
246,,,Yes,,Yes,No,Yes,,,Neither Support nor Oppose,Disagree,BikePGH should advocate that AVs can operate safely in locations with bike and pedestrian infrastructure.,02/23/2017 12:15:17 PM PST,Somewhat familiar,0.0,3.0,,No,Yes,While using the Northshore trail I have seen the Uber AVs operating on River Ave.,,,,,,To some extent,,Yes,02/23/2017 12:10:41 PM PST,Somewhat Approve,2017,20910
247,,,Yes,,Yes,Yes,Yes,,,Actively Oppose,Strongly Agree,Just one more incident of removing humans from paying jobs.,02/23/2017 12:13:37 PM PST,Mostly Unfamiliar,0.0,5.0,,No,No,,,,,,,To some extent,,Yes,02/23/2017 12:10:44 PM PST,Disapprove,2017,15473
248,,,Maybe,,Not sure,Yes,Not sure,,,Actively Support,Agree,"With the streets of our city being relatively narrow and also having sharrows, it is important to AV's to recognize a sharrow, understand when it is next to a cyclist, not make a turn in front of a cyclist at an intersection. Also, how does and A/V stop and actively participate in an AV / cyclist accident?",02/23/2017 12:15:02 PM PST,Somewhat familiar,3.0,3.0,,No,No,,,,,,,Not at all,,Yes,02/23/2017 12:11:15 PM PST,Approve,2017,15229
249,,,Yes,,No,Yes,Yes,,,Actively Support,Neutral,,02/23/2017 12:14:59 PM PST,Mostly Unfamiliar,4.0,4.0,,No,No,"I've biked and walked and self-driving cars have been around, but I have never had an ""interaction"" with one. I've actually always felt very safe around them.",,,,,,To some extent,,Yes,02/23/2017 12:11:52 PM PST,Approve,2017,15224
250,,,Yes,,No,Yes,No,,,Actively Support,Disagree,"Bikers use streets; you should care about anything that involves streets.  Computers make our lives easier (sure they can malfunction, but so can humans, and computers won't be in a hurry or have pre-set notions of hate or entitlement; i.e. AV is good; support them, but only in the sense of opinion; let the car manufacturers and car services worry about funding)",02/23/2017 1:25:15 PM PST,Mostly Unfamiliar,4.0,3.0,,Yes,Yes,"I don't think we are seen as cars, but rather more like a pedestrian; for sure, the cars won't run us over no matter what (so I feel safe), but they also are stupid and go for the turn not seeing us coming where if I was a car, it might not even start to make the turn (just e.g. in my opinion), then the awkward car stop (because it won't run me over), but then it's in my way: wish there could be a mechanism for predicting bikers and walkers that either 1) zipped through before us on it's merry way, or 2) don't even go for the maneuver so as to then not awkwardly stop in our path.",,digress/tangent: wider streets (e.g. don't allow parking on one side if that's what it takes),,,,To little extent,,Yes,02/23/2017 12:12:06 PM PST,Approve,2017,15217
251,,,Maybe,,Not sure,Yes,Yes,,,Actively Support,Agree,AVs will likely be safer than most human drivers in regards to bicycle safety.,02/23/2017 12:16:02 PM PST,Somewhat familiar,0.0,2.0,,No,No,,,,,,,To some extent,,Yes,02/23/2017 12:13:10 PM PST,Approve,2017,15237
252,,,Maybe,,Not sure,Not sure,Yes,,,Neither Support nor Oppose,Disagree,Seems to be better things to be fighting/advocating for,02/23/2017 12:16:45 PM PST,Somewhat familiar,3.0,3.0,,No,Yes,seemed to drive like the average car,,,,,,To a moderate extent,,Yes,02/23/2017 12:15:04 PM PST,Neutral,2017,15213
253,,,Yes,,No,Yes,Yes,,,Actively Support,Strongly Agree,"AV technology is happening...not GOING to happen. So, a bike/ped advocacy group ought to be at the table to be sure AV tech is vigilant with pedestrian/cycle safety.",02/23/2017 12:36:21 PM PST,Somewhat familiar,3.0,2.0,,Yes,Yes,Riding my back downtown and a AV passed me. Nothing major whatsoever. In Mt. Lebanon once was waiting at a light (Beverly Road) as I walk in the crosswalk. I'm typing this so both instances worked out ok for me.,,,,,,To a large extent,,Not sure,02/23/2017 12:17:16 PM PST,Approve,2017,15228
254,,,Yes,,Not sure,Not sure,Not sure,,,Actively Support,Disagree,people are terrible drivers and the faster we can get AVs iterated to a point where they are safe for use by consumers the more lives that will be saved.,02/23/2017 12:21:47 PM PST,Mostly familiar,4.0,2.0,,Yes,No,i've biked around them a bunch of times around the strip and surrounding neighborhoods both by myself and biking with my kids (7&3),,i'm kind of on the fence.  i think there's probably a lightweight regulatory framework required but i would really prefer erring toward active development of AVs,,,,To a moderate extent,,Not sure,02/23/2017 12:17:19 PM PST,Approve,2017,15212
255,,,Yes,,Not sure,Yes,Yes,,,Neither Support nor Oppose,Disagree,"I feel that AVs are much less aggressive than regular drivers, but I am concerned about how they will react to pedestrians/bicyclists.",02/23/2017 12:26:14 PM PST,Mostly Unfamiliar,2.0,2.0,,Yes,No,"I haven't had any bad interactions with an autonomous vehicle yet.  To be fair, though, it is hard to know at any given moment if it is autonomous or being run by the person behind the wheel.",,,,,,To little extent,,Yes,02/23/2017 12:17:47 PM PST,Neutral,2017,15216
256,,,Yes,,No,No,No,,,Actively Support,Strongly Disagree,"If bikepgh wants to engage - make it positive. Work with the companies to help improve the technology, specifically for bike and pedestrian traffic within Pittsburgh.",02/23/2017 12:34:05 PM PST,Extremely familiar,5.0,2.0,,Yes,Yes,,,,The city has more infrastructure issues of greater importance that need addressed than some harmless AVs.,,,To a large extent,,No,02/23/2017 12:18:25 PM PST,Approve,2017,15223
257,,,Yes,,No,Yes,Yes,,,Actively Oppose,Agree,"This will be the future. We will eventually just request transportation and share vehicles.  Unfortunately I do not see our city investing more in public transportation - maybe that is why we were chosen.  To many cars now and it will only grow.  Humans are getting more and more distracted.   Or as I feel - cannot go very long without other interaction. I see way to many people with phones.  It is like we can't go 30 seconds without doing something. Just look around as you are walking, riding or even driving.   I welcome this for safer streets. There will be incidents with AV's, but it will be far less than with humans.    ",02/23/2017 12:27:57 PM PST,Somewhat familiar,4.0,3.0,,Yes,Yes,No issues. Just curiosity from me. Found them to follow their line well.  ,,,,,,To a moderate extent,,Yes,02/23/2017 12:19:10 PM PST,Neutral,2017,15203
258,,,Maybe,,Yes,Yes,Yes,,,Neither Support nor Oppose,Neutral,,02/23/2017 12:22:02 PM PST,Somewhat familiar,2.0,3.0,,No,Not sure,,,,,,,To some extent,,Yes,02/23/2017 12:19:17 PM PST,Somewhat Approve,2017,15602
259,,,Yes,,No,Yes,Not sure,,,Neither Support nor Oppose,Neutral,"At this point, the technology is new enough (and not ubiquitous), so I think time will tell whether AVs are mostly good or mostly bad. They certainly have the potential to be either, so particularly if it becomes evident (and to some extent, it is becoming evident) that they're here to stay, I would think it would be in BikePGH's best interests to advocate for AVs that are safe, energy efficient, regulated, report relevant data to the public (or at least to pertinent parties), etc.",02/23/2017 12:47:07 PM PST,Mostly Unfamiliar,3.0,3.0,,No,Not sure,,,,,,,To some extent,,Not sure,02/23/2017 12:20:24 PM PST,Neutral,2017,15206
260,,,Maybe,,Yes,Yes,Yes,,,No Opinion,Agree,,02/23/2017 12:22:11 PM PST,Mostly Unfamiliar,3.0,3.0,,No,No,,,,,,,To some extent,,Yes,02/23/2017 12:20:28 PM PST,Neutral,2017,15228
261,,,Yes,,Not sure,Yes,Not sure,,,No Opinion,Neutral,,02/23/2017 12:23:04 PM PST,Somewhat familiar,4.0,2.0,,No,Yes,Crossed the street while a self driving Uber was waiting at a light. Everything seemed fine.,,,,,,To little extent,,Yes,02/23/2017 12:20:49 PM PST,Somewhat Approve,2017,15206
262,,,Yes,,No,Yes,Yes,,,Neither Support nor Oppose,Neutral,AVs seem to be a separate issue from Bike PGH's core purpose. Advising on how they interact with Bikes and Pedestrians is fair game however.,02/23/2017 12:29:49 PM PST,Mostly familiar,4.0,2.0,,No,Yes,Was not able to notice any difference.  Human driver was paying attention and care did not react differently than a human driven car.,,Safety data should be shared publicly.,There should be a citizen's advisory board concerning the their implementation. I could see Bike Pgh being a voice there.    If the data can prove that AVs are safer and more economical (for the community) then this board could promote their use.  If they prove to be problematic this board could promote changes.    ,,,To a moderate extent,,Yes,02/23/2017 12:21:43 PM PST,Approve,2017,15201
263,,,Maybe,,Not sure,Yes,Yes,,,Actively Support,Agree,It will happen eventually. Support early might help direct useful safety guidelines and regulations.,02/23/2017 12:27:23 PM PST,Mostly Unfamiliar,0.0,4.0,,No,No,,,,,,,To a moderate extent,,Yes,02/23/2017 12:24:10 PM PST,Somewhat Approve,2017,15238
264,,,Yes,,No,Yes,Yes,,,Actively Support,Strongly Agree,,02/23/2017 12:26:50 PM PST,Extremely familiar,4.0,4.0,,Yes,Yes,Vehicle was slow moving and took its trine to turn.,,,,,,To a large extent,,Yes,02/23/2017 12:24:42 PM PST,Approve,2017,15044
265,,,,,,,,,,,,,02/25/2017 12:30:23 PM PST,,,,,,,,,,,,,,,,02/23/2017 12:26:37 PM PST,,2017,
266,,,No,,Yes,Yes,Yes,,,Actively Support,Agree,SUPPORT THE ISSUE SO ALL INDIVIDUALS ARE PROTECTED.,02/23/2017 12:34:43 PM PST,Mostly Unfamiliar,1.0,1.0,,No,No,,,,,,,To some extent,,Yes,02/23/2017 12:27:23 PM PST,Somewhat Disapprove,2017,15212-5556
267,,,Yes,,No,Yes,No,,,Actively Support,Neutral,I believe that AV vehicles are the cars of the future and can notably improve the experience of sharing the roads for bicycles if they are programmed properly.  Any advocacy should be towards improving the AV-bicycle interactions.,02/23/2017 12:36:06 PM PST,Somewhat familiar,3.0,2.0,,Yes,Yes,"If by ""interacted"" you mean have I biked or walked next to one,  the answer is correctly ""yes"".   I see many in Oakland and Squirrel Hill, both biking and driving.  I have not had any close encounters,  although I felt wary.  They seem to be doing a better job than many drivers at giving us the right of way or an appropriate amount of space for passing.",,"They should be following the existing laws.  If there is a need for further regulation of the AV vehicles,  it would apply to the regular cars as well.",It is the future of cars.  As a car driver and a cyclist I can't wait until they are standard.  I think it is great that Pittsburgh is a testing ground.,,,To some extent,,Not sure,02/23/2017 12:28:38 PM PST,Approve,2017,15217
268,,,Yes,,No,Yes,No,,,Actively Support,Neutral,,02/23/2017 12:44:31 PM PST,Somewhat familiar,4.0,2.0,,Yes,Yes,"I've interacted with them countless times.  1) It's impossible to tell if the AV is driving itself or if it's the driver. That makes nearly any observation useless.  I'm sure you've thought of that, but just wanted to point that out.  I only know this because I rode in one the other day and the engineer explained that to me.  The driver drove most of my route through the east end.  2) I honestly feel safer with AV than I do with the average PGH driver while on my bike.  They go the speed limit, which immediately sets them apart.  Overall, I've had less issues than I have with buses, and normal drivers.  3) One time while running on a sidewalk at night, I run through and interaction which normally gives me issues.  The intersection is where Aiken splits and turns into Liberty.  Almost daily I see cars make the right turn without slowing down and ignore the pedestrians who have the right away.  The AV slowed before making the turn and stopped while I ran through.  It was probably the best interaction I've had at that intersection.   ",,,"I honestly dig it and feel safe around them.  I can understand concern, but overall my experiences have been positive.  An AV isn't going to get road rage.  An AV isn't going to purposely put you in danger.  They're going stay behind you when you ""take the lane.""  I know it's still being tested, but I feel confident and comfortable with them on the streets of PGH.  Please support them BikePGH.  It's the future and will make cycling safer in this city once they become more common.",,,To a moderate extent,,Not sure,02/23/2017 12:29:32 PM PST,Approve,2017,15224
269,,,Yes,,No,Not sure,No,,,Neither Support nor Oppose,Neutral,"The regulations that already exist between motor vehicle drivers, pedestrians, and cyclists should simply be followed reguardless of whether the driver, pedestrian, or cyclist is a human being or a machine.",02/23/2017 12:39:32 PM PST,Extremely familiar,0.0,4.0,,No,No,,,,,,,To some extent,,Yes,02/23/2017 12:30:27 PM PST,Approve,2017,15201
270,,,Yes,,Yes,Yes,Not sure,,,Actively Support,Neutral,"It's a tough issue. Since I see them so often,  I've become far less skeptical and/or scared of them. I'm far more afraid of the many, many, MANY distracted drivers than AVs. Therefore,  I'm all for real-world testing of tech thay will take tweeters out of the equation.",02/23/2017 12:39:39 PM PST,Somewhat familiar,3.0,3.0,,Yes,Yes,"I commute to, and work in, the strip district,  so I see AVs all the time. I've never had an issue with one, but early on I did see them do some kinda scary things, so I always pay extra special attention to them.",,I like the idea of a human being at the wheel and able to take over while testing is underway. Let's keep doing that.,,,,To a moderate extent,,Not sure,02/23/2017 12:30:40 PM PST,Somewhat Approve,2017,15210
271,,,Yes,,Not sure,Yes,No,,,Neither Support nor Oppose,Disagree,I haven't seen anything that's made me concerned about AVs. BikePGH should focus on active threats to peds/bikes. Not perceived ones. If others see dangerous behavior act on it.,02/23/2017 12:43:26 PM PST,Mostly Unfamiliar,4.0,3.0,,Yes,Yes,I was biking and walking around my neighborhood. The cars acted like any regular car. Except some manned cars are more aggressive.,,,Thanks for asking people their thoughts! Seems like a great way to figure out BikePGH's position.,,,To a moderate extent,,Not sure,02/23/2017 12:33:08 PM PST,Approve,2017,15224
272,,,No,,Yes,Not sure,Yes,,,Actively Oppose,Agree,Automobiles kill pedestrians and cyclists.  I don't trust Pittsburgh drivers (or not many of them) but I trust technology that people are gaga over even less.,02/23/2017 12:36:59 PM PST,Somewhat familiar,1.0,3.0,,No,No,,,,,,,To some extent,,Yes,02/23/2017 12:34:41 PM PST,Disapprove,2017,15218
273,,,Maybe,,No,No,No,,,Neither Support nor Oppose,Disagree,Need evidence of long term usage before I can declare they are safer with fewer accidents than the average human driven vehicle.,02/23/2017 12:48:38 PM PST,Mostly Unfamiliar,4.0,4.0,,Yes,Yes,Would not have noticed any difference if it were not for the obvious way in which the car is easily identifiable as an AV.,,,"Its going to be a few decades before these cars can become mainstream. I have to believe the cost of the technology will prevent the average driver to afford to ""drive"" one.  Hybrid cars, for example, provide wonderful energy savings but the average cost to own still makes those cars out of the reach of most consumers.",,,To little extent,,Yes,02/23/2017 12:36:17 PM PST,Somewhat Approve,2017,15143
274,,,Maybe,,Yes,Yes,Yes,,,Actively Oppose,Neutral,"It is frightening as a cyclist to come up against a machine. I have been hit by a car before. I experience weekly close calls with cars. I have had a driver back up into me at a stop light. They stopped because I banged on their car window. I can see why it would be assuring if an automated car always knows where I am and would always stop or leave enough space when passing me, but at this point I've read that the cars don't quite know how to react to bikes and pedestrians doing something it doesn't expect. I am far more comfortable when I can look at a driver's eyes and know that they see me and when one of us can wave the other person forward in situations where that kind of communications is needed.",02/23/2017 12:53:09 PM PST,Mostly Unfamiliar,2.0,3.0,,Yes,Yes,"Driving next to them, meeting them at stop signs. Feeling okay because I know there's a driver in the seat who I can make eye contact with right now. Feeling worried that at some point there might not be. Feeling safe while biking for me depends a lot on making eye contact and gestures with drivers.",,,,,,To some extent,,Yes,02/23/2017 12:40:49 PM PST,Somewhat Disapprove,2017,15206
275,,,Yes,,No,Not sure,No,,,Actively Support,Agree,"Human drivers are the single biggest problem with road safety.  AVs do not get angry, they never out drive their vision, they never get distracted, and they can look in many directions at once.  Further they can interpret information about traction and road conditions into their decision making process in ways that humans cannot.    Integrating bike and pedestrian organizations into the discussion can help AV companies to design and train the systems to account for otherwise unexpected circumstances and situations.",02/23/2017 1:02:59 PM PST,Extremely familiar,4.0,3.0,,Yes,Yes,They were safe if slightly slow to respond.  Particularly as a pedestrian they allow for more room and leeway than is really needed (good conservative response).,,,"Regulations regarding specific testing or performance will have the unintended side effect of locking in outdated views about the technology as time goes on.    Also consider the overall regulations that we experience as drivers; take speed limits for example.   Speed limits are a poor proxy that describes the maximum speed that can be safely driven on a stretch of road given certain assumptions about visibility, braking distance, etc.  AVs are capable of actually calculating all of those factors, so why impose artificial speed limits if the machine won't allow itself to drive faster than conditions safely permit?  The focus should be on encouraging appropriate and thorough testing, not on mandating exactly what that testing should be, or putting artificial restrictions on where and when the AV can operate.  The AV companies should be able to convince pedestrian and Bike advocates that they have accounted for and tested for all reasonable edge cases.",,,To a large extent,,No,02/23/2017 12:41:41 PM PST,Approve,2017,15214
276,,,Maybe,,No,Yes,Not sure,,,Neither Support nor Oppose,Agree,You need to be involved in order to keep the bikers safe. Someone needs to represent the bikers when policies aremade,02/23/2017 12:49:07 PM PST,Somewhat familiar,0.0,2.0,,No,No,,,,,,,To a moderate extent,,Yes,02/23/2017 12:42:34 PM PST,Approve,2017,15237
277,,,Maybe,,Not sure,Yes,Yes,,,Neither Support nor Oppose,Agree,,02/23/2017 12:46:03 PM PST,Mostly Unfamiliar,4.0,4.0,,Not sure,Yes,,,,,,,To some extent,,Yes,02/23/2017 12:43:43 PM PST,Somewhat Approve,2017,15218
278,,,Yes,,No,Yes,No,,,Neither Support nor Oppose,Disagree,,02/23/2017 12:46:04 PM PST,Extremely familiar,4.0,3.0,,No,No,,,,,,,To a large extent,,Not sure,02/23/2017 12:44:32 PM PST,Approve,2017,15217
279,,,Yes,,No,Yes,No,,,Actively Support,Agree,"The AVs more closely follow the rules of the road than human drivers, so in most cases are safer when interacting with cyclists and pedestrians than human-driven cars.",02/23/2017 12:54:24 PM PST,Somewhat familiar,5.0,4.0,,Yes,No,"I often bike through the Strip District where I've encountered the Uber AVs. The interactions were always positive. One day one passed me on Irvine Street between Hazelwood Ave and Greenfield Ave. It was startling because I suspect the car was proceeding at no more than the 25 mph speed limit, whereas traffic typically moves at 35-50 mph along this stretch.",,Pleas proceed with your research; the AVs are a great idea!,,,,To a moderate extent,,No,02/23/2017 12:47:37 PM PST,Approve,2017,15120
280,,,Yes,,Yes,Yes,No,,,Actively Support,Agree,I support autonomous vehicles and the promise of a safer future. They have the potential to eliminate the risks posed by aggressive and dangerous humans.,02/23/2017 12:55:37 PM PST,Somewhat familiar,5.0,3.0,,Not sure,Not sure,,,raise the gas tax on human driven vehicles,Let's look to phasing out human driven vehicles.,,,To a large extent,,Yes,02/23/2017 12:48:21 PM PST,Approve,2017,15120
281,,,Yes,,Yes,Yes,Yes,,,Actively Support,Agree,"I think AV's are the future and it's unstoppable.  It would be easier to work with these companies on public safety and issues of data sharing, instead of fighting the inevitable future.",02/23/2017 1:04:32 PM PST,Mostly Unfamiliar,0.0,1.0,,No,No,,,,"On a positive note, the elderly and people with disabilities will be able to be more mobile, if they are able to afford an AV.  Keeping the elderly from driving is a great step toward public street safety!",,,To little extent,,Yes,02/23/2017 12:50:20 PM PST,Neutral,2017,15206
282,,,Yes,,No,No,No,,,Actively Support,Neutral,"(1.) It has the potential to make Pgh road safer, and as we all know biking in Pgh is a bit dangerous.  (2.) Regardless if BikePGH, Pgh, or even PA help or support AVs, it is an unstoppable technological change. Why not support it and allow them to develop the technology with the interests and needs of bicyclists.  It will be much easier to get Google and Uber to listen to our wants and needs now than after the technology is fully adopted.  (3.) They could potentially be implemented to increase bicycle access. Think of all the short impassible sections of roads in Pgh that block safe bike routes. In the distance future, a full-time AV could be placed in that area with the job of transporting bikers and peds between the unsafe area. I am certain one AV working during the day and rush hour times will be cheaper than building a whole new bridge.   ",02/23/2017 1:41:19 PM PST,Not familiar at all,3.0,1.0,,Yes,Yes,Everything was perfectly normal. The AV behaved like a cautious driver.,,,,,,To some extent,,Yes,02/23/2017 12:50:59 PM PST,Approve,2017,15224
283,,,Yes,,No,Yes,Not sure,,,Actively Support,Agree,"AVs have the opportunity to increase safety for cyclists, if done correctly. I think BikePGH should stay actively involved to be sure cyclists are being considered in practical and helpful ways- also to accurately communicate what is happening to the cycling community.",02/23/2017 12:58:22 PM PST,Somewhat familiar,5.0,5.0,,Not sure,Not sure,,,,,,,To a moderate extent,,Yes,02/23/2017 12:55:01 PM PST,Somewhat Approve,2017,26501
284,,,Yes,,No,Yes,Yes,,,Actively Support,Agree,"Promoting cleaner, safer transportation of all kinds in our region helps bicycling to achieve greater visibility and acceptance. By showing different types of safe, efficient transportation, our roads become more interesting and safe.",02/23/2017 1:13:18 PM PST,Somewhat familiar,4.0,2.0,,Yes,Yes,"On both occasions, I was in Downtown Pittsburgh and noticed the autonomous car passing on the street beside me. It seemed to move slower and smoother than the cars driven by humans. When I was biking on the street between the new bike lanes (there was a gap in bike lanes where I needed to travel), the autonomous car kept a safe distance and did not crowd me or push past. There was a human in the driver seat, which added a layer of comfort for me as a bicycling citizen interested in the potential of this new technology. In the case of being a pedestrian, I noticed the same safe movement through congested city streets and that I didn't feel in danger at any time. Truth be told, I really wished that more Pittsburgh drivers took safety and courtesy cues from the safe driving of these robotic cars.",,"I would love for the safe driving data and techniques of autonomous cars to be used to retrain most of Pittsburgh's drivers so they learn safe and courteous driving habits. The ""Pittsburgh left"" is only funny in bar stories but not so fun in real life.","I love it that our city's ""challenging"" infrastructure has finally found some use to society as a whole - to really test the autonomous vehicles' software and make the most refined, safe, egalitarian new products to come to market. My hope is for the best of this tech to make our cities cleaner and more open for everyone to use safely.",,,To a moderate extent,,Not sure,02/23/2017 12:56:01 PM PST,Approve,2017,15212
285,,,Maybe,,Yes,Yes,Yes,,,Neither Support nor Oppose,Neutral,I'm not sure on this one - tough call.  I think I'd like to see them tested off of public roads first and then perhaps on roads but with an attentive operator that had veto power should the car make a mistake.,02/23/2017 12:58:58 PM PST,Mostly Unfamiliar,0.0,1.0,,Not sure,Not sure,,,,,,,To some extent,,Yes,02/23/2017 12:56:37 PM PST,Somewhat Disapprove,2017,15145
